Loyalty#,Education,CLV_log,Income_log,TenureMonths,MeanPointsUtilization,TotalFlights_log,TotalPointsRedeemed_log,AverageFlightDistance,LoyaltyStatus_Nova,LoyaltyStatus_Star,Location Code_Suburban,Location Code_Urban,CancelledFlag,Marital Status,Gender
480934,0.24701455644859943,-0.7632024515914753,0.6777393186932836,-0.18269977760325573,-0.24638088831883384,0.5227953256088202,0.7381286258550723,0.592418162411476,0,1,0,1,0,0,1
549612,-0.946877258494922,-0.7630125966200968,-1.7100379500554295,-0.2133125668664637,0.40503411289101743,0.7763428593981889,0.8077220730524608,-0.43126576791603527,0,1,0,0,0,1,0
429460,-0.946877258494922,-0.7629560485665032,-1.7100379500554295,0.6257561570296474,0.22405281712344646,0.23240080372678973,0.5294792256412459,-0.10199878869309124,0,1,0,1,1,1,0
608370,-0.946877258494922,-0.7629560485665032,-1.7100379500554295,1.3395907430308167,0.37835690056525045,0.5463342764230887,0.7842742808768675,0.032897374121398495,0,1,1,0,0,1,0
530508,0.24701455644859943,-0.7617286560375143,0.7489272062390635,0.48243264366099176,-0.4294275402239327,0.46170241789700206,-1.4793473794081922,0.1304517329615769,0,1,1,0,0,0,0
193662,0.24701455644859943,-0.7610104359282702,0.46750850524279686,1.7375570034525214,-0.23963150367292568,1.0719294317027204,0.7739900946599099,0.1333719674666526,0,1,0,0,0,0,0
927943,-0.946877258494922,-0.7556222979576757,-1.7100379500554295,0.6744583217665692,-0.16847303980370337,0.543024621550495,0.8493686857378231,0.5912149874151867,0,1,0,1,0,1,1
188893,0.24701455644859943,-0.7541998619546585,0.7387131826237119,-0.5945809422355094,-0.30953276080829834,0.6091378396075907,0.6141759163764531,0.10555487917042203,0,1,1,0,0,0,0
852392,0.24701455644859943,-0.7541998619546585,0.7387131826237119,0.18047922229207597,0.8121268286226311,0.3770705593709155,0.8249718663800152,0.4522163809986975,0,1,1,0,0,0,1
932823,0.24701455644859943,-0.7534690603881448,0.5929565810211577,0.2834495134501394,-0.37342193461046674,0.6797896939051846,0.6074823901772246,-0.07506386980349707,0,1,1,0,0,0,1
144514,0.24701455644859943,-0.7528790488096992,0.45004650178781896,-0.3441126664456254,0.19373033174233653,0.3982697752882824,0.7315081875211521,0.4184509202243572,0,1,0,1,0,0,1
611765,0.24701455644859943,-0.7515994548796416,0.7048701330166088,-1.174832447815407,-0.3072430944492904,0.04462827963989666,0.4217499264887661,0.07863241943471783,0,1,1,0,0,1,0
988178,-0.946877258494922,-0.750356972752497,-1.7100379500554295,1.0070245323986928,-0.2835483618127064,0.849972018687377,0.754697008768117,-0.09204307136503447,0,1,0,0,0,1,0
286114,-0.946877258494922,-0.749896304901358,-1.7100379500554295,-0.5820575284460152,-0.009416483781562525,0.3640021073526133,0.8858589432145403,0.6665379808713126,0,1,0,0,0,1,1
205785,1.4409063713921209,-0.7493236651902214,0.482303264163721,-0.4484744480247438,-0.15882780581840275,0.5496267382058265,0.7956178684964264,0.11462782984795715,0,1,0,0,0,0,0
735304,1.4409063713921209,-0.7493236651902214,0.482303264163721,-0.5917979613933996,-0.23975320336939682,0.28438053158116383,0.7326143214786077,1.0374411864035467,0,1,0,1,0,0,1
438936,0.24701455644859943,-0.7472751063199174,0.7187925758331092,0.9833691952407595,-0.37032400781369795,0.7529528446597717,0.4577968125838965,-0.2229986856840591,0,1,0,0,0,0,0
243713,-0.946877258494922,-0.7454249273026801,-1.7100379500554295,-1.1915303328680662,-0.4294275402239327,0.5816435180818614,-1.4793473794081922,-0.00978463300987092,0,1,0,0,0,0,1
354730,-0.946877258494922,-0.744602446271737,-1.7100379500554295,0.48521562450310135,-0.4294275402239327,0.29917803176381014,-1.4793473794081922,0.33593520372853475,0,1,0,1,1,0,1
413741,-0.946877258494922,-0.744602446271737,-1.7100379500554295,0.09559830660772638,0.15405022120646933,0.5089412774398467,0.8926506846701994,-0.26351908891920367,0,1,0,1,0,0,1
552965,-0.946877258494922,-0.744602446271737,-1.7100379500554295,-1.5839306316055508,-0.4294275402239327,-1.210925435167215,-1.4793473794081922,-0.0006100881140808843,0,1,0,0,0,0,0
642313,-0.946877258494922,-0.744602446271737,-1.7100379500554295,-0.23140194234017758,0.02902888268375968,0.4579185411782172,0.8652184592683135,0.38956030936570546,0,1,1,0,0,0,0
263080,-0.946877258494922,-0.7441873787184919,-1.7100379500554295,0.7008966397666128,-0.3868062984961632,0.33241847505344135,0.35788668797506507,-0.24552925429834613,0,1,0,1,0,1,0
